"Program Name","Institution Name",District,"Accredited Date","Expiry Date",Status
"Bachelor of Arts in International Relations and Diplomacy Studies","Metropolitan International University (MIU)",Kisoro,17/Oct/2022,17/Oct/2027,Active
"Bachelor of Social Work","Metropolitan International University (MIU)",Kisoro,17/Oct/2022,17/Oct/2027,Active
"Bachelor of Human Resources Management","Metropolitan International University (MIU)",Kisoro,17/Oct/2022,17/Oct/2027,Active
"Bachelor of Business Administration","Metropolitan International University (MIU)",Kisoro,17/Oct/2022,17/Oct/2027,Active
"Bachelor of Theology","Bugema University",Luwero,17/Oct/2022,17/Oct/2027,Active
"Diploma in Clinical Palliative Care","Institute of Hospice and Palliative Care in Africa (IHPCA) (Formerly Hospice, Africa)",Kampala,17/Oct/2022,17/Oct/2027,Active
"Bachelor of Science in Computer Science","Gulu University",Gulu,17/Oct/2022,17/Oct/2027,Active
"Bachelor of Computer Science (Gaming and Animation Technology)","Gulu University",Gulu,17/Oct/2022,17/Oct/2027,Active
"Bachelor of Information and Communication Technology","Gulu University",Gulu,17/Oct/2022,17/Oct/2027,Active
"Bachelor of Human Resources Management","ISBAT University",Kampala,17/Oct/2022,17/Oct/2027,Active
"Bachelor of Science in Networking and Cyber Security","ISBAT University",Kampala,17/Oct/2022,17/Oct/2027,Active
"Bachelor of Science in Applied Economics","ISBAT University",Kampala,17/Oct/2022,17/Oct/2027,Active
"Postgraduate Diploma in Clinical Palliative Care","Institute of Hospice and Palliative Care in Africa (IHPCA) (Formerly Hospice, Africa)",Kampala,17/Oct/2022,17/Oct/2027,Active
"Postgraduate Diploma in Paediatric Palliative Care","Institute of Hospice and Palliative Care in Africa (IHPCA) (Formerly Hospice, Africa)",Kampala,17/Oct/2022,17/Oct/2027,Active
"Bachelor of Science in Information Technology","Kumi University",Kumi,17/Oct/2022,17/Oct/2027,Active
"Diploma in Primary Education","Kumi University",Kumi,17/Oct/2022,17/Oct/2027,Active
"Bachelor of Public Administration and Management","Kumi University",Kumi,17/Oct/2022,17/Oct/2027,Active
"Master of Education in Educational Psychology","Bishop Stuart University",Mbarara,17/Jan/2023,17/Jan/2028,Active
"Master of Medicine in Internal Medicine","Makerere University",Kampala,17/Jan/2023,17/Jan/2028,Active
"Bachelor of Public Administration and Management","Metropolitan International University (MIU)",Kisoro,17/Jan/2023,17/Jan/2028,Active
"Diploma in Accounting and Finance","Makerere University Business School",Kampala,17/Jan/2023,17/Jan/2028,Active
"Bachelor of Science in Health Promotion and Education","Uganda Martyrs University",Mpigi,17/Jan/2023,17/Jan/2028,Active
"Bachelor of Education (Primary)","University of Kisubi",Wakiso,17/Jan/2023,17/Jan/2028,Active
"Master of Arts In Educational Leadership and Management","University of Kisubi",Wakiso,17/Jan/2023,17/Jan/2028,Active
"Diploma in Business Administration","Humanity First Vocational Training Institute",Budaka,20/Jan/2023,20/Jan/2028,Active
"Diploma in Accounting and Finance","Humanity First Vocational Training Institute",Budaka,20/Jan/2023,20/Jan/2028,Active
"Diploma in Information Technology","Humanity First Vocational Training Institute",Budaka,20/Jan/2023,20/Jan/2028,Active
"Diploma in Public Administration","Humanity First Vocational Training Institute",Budaka,20/Jan/2023,20/Jan/2028,Active
"Masters in Project Planning and Management","Universal Technology and Management University Formerly (Uganda Technology and Management University)",Kampala,20/Jan/2023,20/Jan/2028,Active
"Postgraduate Diploma in Education with Technology","Universal Technology and Management University Formerly (Uganda Technology and Management University)",Kampala,20/Jan/2023,20/Jan/2028,Active
"Master of Arts in Peace, Human Rights and Development","Victoria University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Master of Science in Mathematics","Muni University",Arua,20/Jan/2023,20/Jan/2028,Active
"Master of Science in Climate Climate Change and Disaster Risk Management","Muni University",Arua,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Procurement and Supply Chain Management","Muni University",Arua,20/Jan/2023,20/Jan/2028,Active
"Bachelor of  Science in Environment and Natural Resources","Muni University",Arua,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Education with Information and Communication Technology","Muteesa I Royal University",Masaka,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Philosophy (Programme Affiliation to Pontifical Urbaniana University)","Queen of Apostles Philosophy Centre, Jinja",Jinja,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Theology","St. Paul's National Major Seminary-Kinyamasika",Kabarole,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Information Technology","Apex International University (AIU)",Wakiso,20/Jan/2023,20/Jan/2028,Active
"Diploma in Information Technology","Apex International University (AIU)",Wakiso,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Records and Information Management","Apex International University (AIU)",Wakiso,20/Jan/2023,20/Jan/2028,Active
"Diploma in Records and Information Management","Apex International University (AIU)",Wakiso,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Arts with Education","Apex International University (AIU)",Wakiso,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Business Administration","Apex International University (AIU)",Wakiso,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Medical Laboratory Science (Direct)","Mbarara University of Science and Technology",Mbarara,20/Jan/2023,20/Jan/2028,Active
"Master of Demography and Population Studies","Makerere University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Master of Science in Botany","Makerere University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Master of Science in Population and Reproductive Health","Makerere University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Postgraduate Diploma in Population and Reproductive Health","Makerere University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Master of Science in Mechanical Engineering","Makerere University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Science in Civil Engineering","Makerere University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Master of Science in Civil Engineering","Makerere University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Science in Mechanical Engineering","Makerere University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Science in Electrical Engineering","Makerere University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Diploma in Accounting and Finance","Global Institute of Information Technology & Business",Kampala,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Engineering in Electronics and Communication","ISBAT University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Diploma in Tourism and Hospitality Management","Bishop Stuart University",Mbarara,20/Jan/2023,20/Jan/2028,Active
"Doctor of Philosophy in Education Leadership and Management","Busitema University, Nagongera Campus",Tororo,20/Jan/2023,20/Jan/2033,Active
"Doctor of Philosophy in Biodiversity Conservation and Management","Busitema University, Nagongera Campus",Tororo,20/Jan/2023,20/Jan/2033,Active
"Diploma in Paralegal Studies","Cavendish University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Master of Engineering Management","Ernest Cook University (Formerly Ernest Cook Ultrasound Education Institute",Kampala,20/Jan/2023,20/Jan/2028,Active
"Master of Health System Management","Ernest Cook University (Formerly Ernest Cook Ultrasound Education Institute",Kampala,20/Jan/2023,20/Jan/2028,Active
"Postgraduate Diploma in Orthopaedic Physiotherapy","Ernest Cook University (Formerly Ernest Cook Ultrasound Education Institute",Kampala,20/Jan/2023,20/Jan/2028,Active
"Higher Education Certificate -Humanities","Equator University of Science and Technology (EQUSaT)",Masaka,20/Jan/2023,20/Jan/2028,Active
"National Diploma in Fashion Design","Global Institute of Information Technology & Business",Kampala,20/Jan/2023,20/Jan/2028,Active
"Diploma in Journalism and Media Studies","Global Institute of Information Technology & Business",Kampala,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Oil and Gas Management","Institute of Petroleum Studies",Kampala,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Environmental Health and Safety Management","Institute of Petroleum Studies",Kampala,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Environmental Health Science","Islamic University in Uganda",Mbale,20/Jan/2023,20/Jan/2028,Active
"Master of Arts in International Relations","Islamic University in Uganda",Mbale,20/Jan/2023,20/Jan/2028,Active
"Diploma in Education -Primary","Islamic University in Uganda",Mbale,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Arts in International Relations and Diplomacy","Islamic University in Uganda",Mbale,20/Jan/2023,20/Jan/2028,Active
"Master of Arts in History","Islamic University in Uganda",Mbale,20/Jan/2023,20/Jan/2028,Active
"Master of Science in Software Engineering","Kampala International University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Master of Science in Information Systems","Kampala International University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Postgraduate Diploma in Demography and Population Studies","Makerere University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Postgraduate Diploma in Business Intelligence and Data Analytics","Makerere University Business School",Kampala,20/Jan/2023,20/Jan/2028,Active
"Diploma in Business Intelligence and Data Analytics","Makerere University Business School",Kampala,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Visual Communication, Design and Multimedia","Makerere University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Diploma in Primary Education","Luigi Giussani Institute of Higher Education (LGIHE)",Kampala,20/Jan/2023,20/Jan/2028,Active
"Higher Education Certificate – Humanities","Muni University",Arua,20/Jan/2023,20/Jan/2028,Active
"Diploma in Public Administration","International University of East Africa",Kampala,20/Jan/2023,20/Jan/2028,Active
"Diploma in Clinical Medicine and Community Health","Kampala Institute of Science and Technology",Kampala,20/Jan/2023,20/Jan/2028,Active
"Diploma in Pharmacy","Kampala Institute of Science and Technology",Kampala,20/Jan/2023,20/Jan/2028,Active
"Master of Information Technology","Kampala International University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Master of Science in Computer Science","Kampala International University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Master of Laws","Cavendish University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Diploma in Accounting and Finance","Global Institute of Information Technology & Business",Kampala,20/Jan/2023,20/Jan/2028,Active
"Diploma in Procurement and Logistics Chain Management","Global Institute of Information Technology & Business",Kampala,20/Jan/2023,20/Jan/2028,Active
"Master of Information Technology","Cavendish University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Information Technology","Cavendish University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Science in Pharmaceutical Sciences","Mbarara University of Science and Technology",Mbarara,20/Jan/2023,20/Jan/2028,Active
"Master of Medicine in Emergency Medicine","Mbarara University of Science and Technology",Mbarara,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Medical Laboratory Science (Completion)","Mbarara University of Science and Technology",Mbarara,20/Jan/2023,20/Jan/2028,Active
"Master of Science in Biomedical Engineering","Mbarara University of Science and Technology",Mbarara,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Science Petroleum Engineering and Environmental Management","Mbarara University of Science and Technology",Mbarara,20/Jan/2023,20/Jan/2028,Active
"Bachelor  Education Secondary (Arts)","Muteesa I Royal University",Masaka,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Arts with Education","Muteesa I Royal University",Masaka,20/Jan/2023,20/Jan/2028,Active
"Bachelor of Business Administration","Muteesa I Royal University",Masaka,20/Jan/2023,20/Jan/2028,Active
"Postgraduate Diploma Demography and population studies","Makerere University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Master of Medicine  Ophthalmology","Makerere University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Doctor of Philosophy in Education Leadership & Management","Busitema University, Nagongera Campus",Tororo,20/Jan/2023,20/Jan/2033,Active
"Doctor of Philosophy in Biodiversity Conservation & Management","Busitema University, Nagongera Campus",Tororo,20/Jan/2023,20/Jan/2033,Active
"Masters in Project Planning and Management","Universal Technology and Management University (UTAMU), Kungu Campus",Luwero,20/Jan/2023,20/Jan/2028,Active
"Postgraduate Diploma in Education with Technology","Universal Technology and Management University (UTAMU), Kungu Campus",Luwero,20/Jan/2023,20/Jan/2028,Active
"Postgraduate Diploma in Public Administration","Makerere University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Postgraduate Diploma in Project Planning and Management","Makerere University",Kampala,20/Jan/2023,20/Jan/2028,Active
"Diploma in Information Technology","Muteesa I Royal University",Masaka,17/Apr/2023,17/Apr/2028,Active
"Diploma in Theology","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Tourism and Hospitality Management","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Postgraduate Diploma in Education","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Business Administration","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Science in Information Technology","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Master of Science in Agribusiness and Entrepreneurship","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Master of Arts in Strategic Communication","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Master of Information Technology","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Procurement and Logistics Management","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Science in Accounting and Finance","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Science in Computer Science","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Master of Arts in International Relations and Diplomatic Studies","Cavendish University",Kampala,17/Apr/2023,17/Apr/2028,Active
"Master of Security Studies","Cavendish University",Kampala,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Environmental Health Science","Cavendish University",Kampala,17/Apr/2023,17/Apr/2028,Active
"Diploma in Hotel and Hospitality Management","East African Institute of Management Science",Gulu,17/Apr/2023,17/Apr/2028,Active
"Diploma in Procurement and Logistics Management","East African Institute of Management Science",Gulu,17/Apr/2023,17/Apr/2028,Active
"Diploma in Records and Information Management","East African Institute of Management Science",Gulu,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Quantitative Economics","Gulu University",Gulu,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Business Administration","Gulu University",Gulu,17/Apr/2023,17/Apr/2028,Active
"Master of Education in Education Management","Gulu University",Gulu,17/Apr/2023,17/Apr/2028,Active
"Master of Arts in Governance and Ethics","Gulu University",Gulu,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Business Education","Gulu University",Gulu,17/Apr/2023,17/Apr/2028,Active
"Master of Business Administration","Gulu University",Gulu,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Development Studies","Gulu University",Gulu,17/Apr/2023,17/Apr/2028,Active
"Master of Arts in Literature and English Lingustics","Gulu University",Gulu,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Science Education (Sport and Exercise Science)","Gulu University",Gulu,17/Apr/2023,17/Apr/2028,Active
"Bachelor of  Science with Education ( physical, Biological, Economics, Sports Science, Technological Education)","Gulu University",Gulu,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Science in Economics","Gulu University",Gulu,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Arts with  Education","Gulu University",Gulu,17/Apr/2023,17/Apr/2028,Active
"Bachelor Science with Education (Economics, Mathematics)","Gulu University",Gulu,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Tourism and Hotel Management","Avance International University",Kampala,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Education Early Childhood Development","Avance International University",Kampala,17/Apr/2023,17/Apr/2028,Active
"Diploma in Information Technology","Avance International University",Kampala,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Information Technology","Avance International University",Kampala,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Science in Computer Science","Avance International University",Kampala,17/Apr/2023,17/Apr/2028,Active
"Diploma in Computer Science","Avance International University",Kampala,17/Apr/2023,17/Apr/2028,Active
"Diploma in Data Communications and Computer Networks","Avance International University",Kampala,17/Apr/2023,17/Apr/2028,Active
"Bachelor in Graphics Communication Design","Avance International University",Kampala,17/Apr/2023,17/Apr/2028,Active
"Diploma in Business Administration","Avance International University",Kampala,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Business Administration","Avance International University",Kampala,17/Apr/2023,17/Apr/2028,Active
"Bachelors Degree in Primary Teacher Education","Avance International University",Kampala,17/Apr/2023,17/Apr/2028,Active
"Master of Arts in Theological Studies","Africa Reformation Theological Seminary",Wakiso,17/Apr/2023,17/Apr/2028,Active
"Master of Divinity","Africa Reformation Theological Seminary",Wakiso,17/Apr/2023,17/Apr/2028,Active
"Master of Arts in Biblical Counselling","Africa Reformation Theological Seminary",Wakiso,17/Apr/2023,17/Apr/2028,Active
"Master of Public Administration and management","Islamic University in Uganda",Mbale,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Business Studies","Islamic University in Uganda",Mbale,17/Apr/2023,17/Apr/2028,Active
"Advanced Diploma in Health Services Management","Islamic University in Uganda",Mbale,17/Apr/2023,17/Apr/2028,Active
"Diploma in Public Administration","Islamic University in Uganda",Mbale,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Arts in Procurement and Logistics  Management","Islamic University in Uganda",Mbale,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Science in Health Services Management","Islamic University in Uganda",Mbale,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Human Resource Management","Islamic University in Uganda",Mbale,17/Apr/2023,17/Apr/2028,Active
"Diploma in Business Administration","Islamic University in Uganda",Mbale,17/Apr/2023,17/Apr/2028,Active
"Bachelor of  Administrative  and Secretarial science","Islamic University in Uganda",Mbale,17/Apr/2023,17/Apr/2028,Active
"Postgraduate Diploma in Project Planning and Management","Islamic University in Uganda",Mbale,17/Apr/2023,17/Apr/2028,Active
"Postgraduate Diploma in Human Resource Management","Islamic University in Uganda",Mbale,17/Apr/2023,17/Apr/2028,Active
"Master of Business Administration","Islamic University in Uganda",Mbale,17/Apr/2023,17/Apr/2028,Active
"Diploma in Business Administration","International University of East Africa",Kampala,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Human Resources Management","International University of East Africa",Kampala,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Procurement and Logistics Management","International University of East Africa",Kampala,17/Apr/2023,17/Apr/2028,Active
"Diploma in Business Administration","Institute of Advanced Leadership, Uganda",Kampala,17/Apr/2023,17/Apr/2028,Active
"Diploma in Social Work and Social Administration","Institute of Advanced Leadership, Uganda",Kampala,17/Apr/2023,17/Apr/2028,Active
"Diploma in Public Health","Institute of Advanced Leadership, Uganda",Kampala,17/Apr/2023,17/Apr/2028,Active
"Diploma in Information Technology","Kumi University",Kumi,17/Apr/2023,17/Apr/2028,Active
"Diploma in Agricultural Sciences","Kumi University",Kumi,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Applied Computing Technologies","Clarke International University",Kampala,17/Apr/2023,17/Apr/2028,Active
"Higher Education Certificate -Arts","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Master of Arts in Counselling Psychology","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Diploma in Education (Early Childhood Development)","Westminster Christian Institute Uganda",Kampala,17/Apr/2023,17/Apr/2028,Active
"Postgraduate Diploma in Education","Westminster Christian Institute Uganda",Kampala,17/Apr/2023,17/Apr/2028,Active
"Postgraduate Diploma in Divinity","Westminster Christian Institute Uganda",Kampala,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Child Development with Education","Westminster Christian Institute Uganda",Kampala,17/Apr/2023,17/Apr/2028,Active
"Diploma in Business Administration","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Environmental Science and Disaster Management","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Master of Science in Environmental Science and Management","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Diploma in Information Technology","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Master of Governance and International Relations","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Diploma in Medical Records","Ebenezer University Lira (EUL)",Lira,17/Apr/2023,17/Apr/2028,Active
"Postgraduate Diploma in Entrepreneurship and Enterprise Management","Gulu University",Gulu,17/Apr/2023,17/Apr/2028,Active
"Postgraduate Diploma in Financial Management","Gulu University",Gulu,17/Apr/2023,17/Apr/2028,Active
"Postgraduate Diploma in Procurement, Supply Chain and logistics Management","Gulu University",Gulu,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Business Administration","Ebenezer University Lira (EUL)",Lira,17/Apr/2023,17/Apr/2028,Active
"Bachelor Information Technology","Ebenezer University Lira (EUL)",Lira,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Public Administration","Ebenezer University Lira (EUL)",Lira,17/Apr/2023,17/Apr/2028,Active
"Diploma in Education Primary","Ebenezer University Lira (EUL)",Lira,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Education, Primary (BEP)","Luigi Giussani Institute of Higher Education (LGIHE)",Kampala,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Business Administration","St. Peters University",Luwero,17/Apr/2023,17/Apr/2028,Active
"Bachelor Information Technology","St. Peters University",Luwero,17/Apr/2023,17/Apr/2028,Active
"Bachelor of  Arts with Education","St. Peters University",Luwero,17/Apr/2023,17/Apr/2028,Active
"Diploma in Business Administration","Tropics College of Business and Management",Iganga,17/Apr/2023,17/Apr/2028,Active
"Diploma in Public Administration and Management","Tropics College of Business and Management",Iganga,17/Apr/2023,17/Apr/2028,Active
"Diploma in Early Childhood Education","Tropics College of Business and Management",Iganga,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Science in Information System","Avance International University",Kampala,17/Apr/2023,17/Apr/2028,Active
"Master of  office management and administrative Science","Bishop Stuart University",Mbarara,17/Apr/2023,17/Apr/2028,Active
"Master of Science in Procurement and Supply Chain Management","Bishop Stuart University",Mbarara,17/Apr/2023,17/Apr/2028,Active
"Master of Science in Nutrition and Food Safety","Bishop Stuart University",Mbarara,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Community and Counselling Psychology","Bishop Stuart University",Mbarara,17/Apr/2023,17/Apr/2028,Active
"Higher Education Certificate – biological sciences","Cavendish University",Kampala,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Development Management","Gulu University",Gulu,17/Apr/2023,17/Apr/2028,Active
"Master of Development Management","Gulu University",Gulu,17/Apr/2023,17/Apr/2028,Active
"Master of Arts in Peace and Conflict Studies","Gulu University",Gulu,17/Apr/2023,17/Apr/2028,Active
"Postgraduate Diploma in Educational Management and Leadership","Ibanda University",Ibanda,17/Apr/2023,17/Apr/2028,Active
"Diploma in Advanced Leadership and Management","Institute of Advanced Leadership, Uganda",Kampala,17/Apr/2023,17/Apr/2028,Active
"Diploma in Counselling and Psychotherapy","Institute of Advanced Leadership, Uganda",Kampala,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Arts in Sharia","Islamic University in Uganda",Mbale,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Science in Tourism and Hospitality Management","Islamic University in Uganda",Mbale,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Public Administration and Management","Islamic University in Uganda",Mbale,17/Apr/2023,17/Apr/2028,Active
"Postgraduate Diploma in Public Administration and Management","Islamic University in Uganda",Mbale,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Science in Statistics","Kampala International University",Kampala,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Social Work and Social Administration","Kumi University",Kumi,17/Apr/2023,17/Apr/2028,Active
"Diploma in Primary Education External (DIPEXT)","Kumi University",Kumi,17/Apr/2023,17/Apr/2028,Active
"Diploma in Information Technology","Luigi Giussani Institute of Higher Education (LGIHE)",Kampala,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Procurement and Logistics Management","Metropolitan International University (MIU)",Kisoro,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Public Administration and Management","Metropolitan International University (MIU)",Kisoro,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Science in Accounting and Finance","Metropolitan International University (MIU)",Kisoro,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Science in Accounting and Finance","Metropolitan International University (MIU)",Kisoro,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Counselling and Guidance (Manchester University programme )Affiliation","Mildmay Institute of Health Sciences (Formerly Mildmay Uganda)",Kampala,17/Apr/2023,17/Apr/2028,Active
"Diploma in Early Childhood Development","Mildmay Institute of Health Sciences (Formerly Mildmay Uganda)",Kampala,17/Apr/2023,17/Apr/2028,Active
"Diploma in Educational Leadership and Management (DELM)","Muni University",Arua,17/Apr/2023,17/Apr/2028,Active
"Diploma in Information Technology","Ndejje University",Luwero,17/Apr/2023,17/Apr/2028,Active
"Certificate in Christian Ministry","Shepherds Training College",Luwero,17/Apr/2023,17/Apr/2028,Active
"Certificate in Children Ministry","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Certificate in Theology","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Bachelor of Science in Human Nutrition and Dietetics","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Master of Science in Agriculture","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Master of Science in Agricultural Economics","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Master of Science in Environmental Health and Safety Management","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Master of Public Health-Blended (Delivery)","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Postgraduate Diploma in Internationalisation of Education","Uganda Christian University",Mukono,17/Apr/2023,17/Apr/2028,Active
"Master of Science in Global Health Nutrition","Victoria University",Kampala,17/Apr/2023,17/Apr/2028,Active
"Master of Science in Health Service Management","Victoria University",Kampala,17/Apr/2023,17/Apr/2028,Active
"Diploma in business administration and management","Vision for Africa International Christian College",Mukono,17/Apr/2023,17/Apr/2028,Active
"Diploma in business administration and management","Vision for Africa International Christian College",Mukono,17/Apr/2023,17/Apr/2028,Active
"Doctor of Philosophy in Physics","Busitema University, Nagongera Campus",Tororo,21/Jun/2023,21/Jun/2033,Active
"Postgraduate Diploma in Financial Management","Bishop Stuart University",Mbarara,14/Aug/2023,14/Aug/2028,Active
"Bachelor of Science in Natural Resource Economics","Busitema University, Namasagali Campus",Kamuli,21/Aug/2023,21/Aug/2028,Active
"Diploma in Information Technology","Destiny International Business Institute",Kampala,21/Aug/2023,21/Aug/2028,Active
"Diploma in Business Management","Informatics Management Institute (IMI)",Adjumani,21/Aug/2023,21/Aug/2028,Active
"Diploma in Accounting and Finance","Informatics Management Institute (IMI)",Adjumani,21/Aug/2023,21/Aug/2028,Active
"Diploma in Information Technology","Informatics Management Institute (IMI)",Adjumani,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Business Administration","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Postgraduate Diploma in Technical and Vocational Education","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Postgraduate Diploma in Special Needs Education","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Master of Science in Conservation and Natural Resource Management","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Organisational Psychology","Makerere University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Postgraduate Diploma in Counselling Psychology","Makerere University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Environmental Health Sciences","Makerere University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Master of Biomedical Laboratory Science and Management","Makerere University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Master of Agribusiness","Mountains of the Moon University",Kabarole,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Tourism,Travel and Hospitality Management","Mountains of the Moon University",Kabarole,21/Aug/2023,21/Aug/2028,Active
"Diploma in Agriculture","Mountains of the Moon University",Kabarole,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Science with Education","Universal Technology and Management University (UTAMU), Kungu Campus",Luwero,21/Aug/2023,21/Aug/2028,Active
